"Data Source","World Development Indicators",

"Last Updated Date","2018-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Air transport, passengers carried","IS.AIR.PSGR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Air transport, passengers carried","IS.AIR.PSGR","","","","","","","","","","","84700","97400","104900","96600","96100","99000","101700","111200","100400","93000","76200","129100","181000","200200","220400","225500","184400","217900","201000","220000","241400","212300","212300","197000","238400","250400","255600","89600","52700","140200","149705","","","","","","","","","","1999127","2279341.17952861","1737962.12640656","2044188","2209428","1929907","1917924","1858558",
"Angola","AGO","Air transport, passengers carried","IS.AIR.PSGR","","","","","","","","","","","","","","","","","155400","282700","308000","546100","635200","801100","890500","952500","689600","894200","727000","746000","750000","509800","451500","456000","440000","333500","519000","552500","585000","555000","552900","293800","235448","193317","189619","198253","222032","239795","262666","277361","283887","274869","1010194","987798","1132424","1321872","1409952","1244491","1482546","1581201",
"Albania","ALB","Air transport, passengers carried","IS.AIR.PSGR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9100","13000","29000","55400","21200","91500","136622","146273","137569","158888","179543","195702","213315","238913","243691","231263","768533","829778.923870707","814339.730278696","865848","151632","","26634","103151",
"Andorra","AND","Air transport, passengers carried","IS.AIR.PSGR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Air transport, passengers carried","IS.AIR.PSGR","","","","","","","","","","","4209300","4737000","5625600","6569400","8227100","10178000","13313000","16062400","18669700","21838000","24725900","25883200","27570500","29098800","30019300","29988100","27905400","29113000","30660000","31525100","31484000","28835100","33877100","34017400","35968300","35918200","38024200","39692100","40403700","43269900","45723758","46769231","49871837","52465002","60950501","43608649","47875367","51722644","53542019","95372047","126796491.879128","135837641.389789","152014159.66127","166209279.140784","181627311.076906","195957046","214318723","224000311",
"United Arab Emirates","ARE","Air transport, passengers carried","IS.AIR.PSGR","","","","","","","","","","","","","","","127500","173000","240100","299800","374500","456500","521500","577800","569800","601800","674200","717500","935200","1093000","1329500","1481700","1685900","2041800","2508800","2936300","3368700","3550500","4063500","4720400","5263700","5840300","6893085","7675845","9667005","11609840","14314326","","","","","31761631","44948143.8494121","50342891.8028694","59948766.6976478","68151865","75608196","84343562","91763598","95306296",
"Argentina","ARG","Air transport, passengers carried","IS.AIR.PSGR","","","","","","","","","","","2332000","2218600","2358500","2312700","2943500","3299200","3293600","3884100","3946700","5023500","5588500","4890100","4595900","4399600","5163600","4713200","5034700","5405800","5068800","4748400","5369100","4545900","5251400","5104500","6260700","6641700","7913000","8599800","8446500","9191900","8915627","5808770","5662905","6036360","6795484","6938436","6611915","7036784","6147290","5694547","9025035.31187357","8590839.84977289","9375669.73963746","11951276.8223926","12121912.818","14245183","15076354","18308373",
"Armenia","ARM","Air transport, passengers carried","IS.AIR.PSGR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","358100","367800","365300","343100","298232","369164","407777","366581","509904","555795","605817","560626","623688","653320","704753","392312","364733","45000","0","","","",
"American Samoa","ASM","Air transport, passengers carried","IS.AIR.PSGR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49772.7886953707","50641.7227722772","56096.9796769151","72240","76944","","","",
